INTERACTOR_A	INTERACTOR_B	OFFICIAL_SYMBOL_A	OFFICIAL_SYMBOL_B	ALIASES_FOR_A	ALIASES_FOR_B	EXPERIMENTAL_SYSTEM	SOURCE	PUBMED_ID	ORGANISM_A_ID	ORGANISM_B_ID
YFL039C	YBR243C	ACT1	ALG7	ABY1|END7	TUR1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YKL052C	ACT1	ASK1	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YPR105C	ACT1	COG4	ABY1|END7	COD1|SEC38|SGF1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YGR175C	ACT1	ERG1	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YLR060W	ACT1	FRS1	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YOL133W	ACT1	HRT1	ABY1|END7	HRT2|RBX1|ROC1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YER112W	ACT1	LSM4	ABY1|END7	SDB23|USS1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YDL148C	ACT1	NOP14	ABY1|END7	UTP2	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YHR118C	ACT1	ORC6	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YOR145C	ACT1	PNO1	ABY1|END7	DIM2|RRP20	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YER171W	ACT1	RAD3	ABY1|END7	REM1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YBL020W	ACT1	RFT1	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YMR061W	ACT1	RNA14	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YDL111C	ACT1	RRP42	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YDL153C	ACT1	SAS10	ABY1|END7	UTP3	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YDR489W	ACT1	SLD5	ABY1|END7	CDC105	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YDR189W	ACT1	SLY1	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YNL222W	ACT1	SSU72	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YMR149W	ACT1	SWP1	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YGR198W	ACT1	N/A	ABY1|END7	YPP1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YHR122W	ACT1	N/A	ABY1|END7	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YFL039C	YJL097W	ACT1	N/A	ABY1|END7	PHS1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YPL051W	YML077W	ARL3	BET5	N/A	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YPL051W	YGR120C	ARL3	COG2	N/A	SEC35	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YPL051W	YOR103C	ARL3	OST2	N/A	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YPL051W	YBR254C	ARL3	TRS20	N/A	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YBR236C	ARP2	ABD1	ACT2	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YDL008W	ARP2	APC11	ACT2	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YOL078W	ARP2	AVO1	ACT2	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YAR019C	ARP2	CDC15	ACT2	LYT1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YMR001C	ARP2	CDC5	ACT2	MSD2|PKX2	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YGR278W	ARP2	CWC22	ACT2	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YOL133W	ARP2	HRT1	ACT2	HRT2|RBX1|ROC1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YMR186W	ARP2	HSC82	ACT2	HSP90	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YLR259C	ARP2	HSP60	ACT2	CPN60|MIF4	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YOR181W	ARP2	LAS17	ACT2	BEE1	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YBR142W	ARP2	MAK5	ACT2	N/A	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
YDL029W	YIL046W	ARP2	MET30	ACT2	ZRG11	Synthetic Lethality	Davierwala AP (2005)	16155567	4932	4932
